performer,group,number_problem,priority,status,network_object
Васильев ОНП MSK0020 Низкий Зарегистрирована BTS_77_0093_L, Россия, адрес 13

Волков ОКО MSK0007 Средний В ожидании BTS_77_0003_ULN, Россия, адрес 11

Воробьёв ОКО MSK0012 Средний Назначена BTS_77_0025_ULN, Россия, адрес 20

Зайцев ОКО MSK0006 Наивысший В ожидании BTS_77_2903_ULN, Россия, адрес 14

Иванов ОНП MSK0002 Высокий Закрыта BTS_77_0372_LN, Россия, адрес 02

Иванов ОНП MSK0005 Наивысший Зарегистрирована BTS_77_0077_LN, Россия, адрес 05

Иванов ОНП MSK0021 Средний Назначена BTS_77_0101_L, Россия, адрес 21

Козлов ОНП MSK0014 Средний Закрыта BTS_77_1113_L, Россия, адрес 07

Козлов ОНП MSK0016 Высокий Назначена BTS_77_0024_GU_MTSVC, Россия, адрес 16

Кузнецов ОКО MSK0003 Низкий Назначена BTS_77_0108_LN, Россия, адрес 03

Лебедев ОКО MSK0011 Средний Зарегистрирована BTS_77_1002_LN, Россия, адрес 06

Михайлов ОКО MSK0022 Наивысший Разработка решения BTS_77_0111_GU_MTSVC, Россия, адрес 22

Морозов ОКО MSK0018 Наивысший Назначена BTS_77_0001_L, Россия, адрес 18

Морозов ОКО MSK0009 Низкий Закрыта BTS_77_0695_LN, Россия, адрес 09

Новиков ОНП MSK0008 Высокий В ожидании BTS_77_0089_ULN, Россия, адрес 08

Новиков ОНП MSK0017 Низкий В ожидании BTS_77_0320_ULN, Россия, адрес 17

Павлов ОНП MSK0015 Средний Назначена BTS_77_0004_L, Россия, адрес 15

Петров ОНП MSK0013 Высокий Разработка решения BTS_77_0002_GU_MTSVC, Россия, адрес 19

Петров ОНП MSK0001 Средний Разработка решения BTS_77_0006_LN, Россия, адрес 10

Смирнов ОКО MSK0010 Высокий В ожидании BTS_77_0008_L, Россия, адрес 01

Соколов ОКО MSK0004 Средний Разработка решения BTS_77_0056_ULN, Россия, адрес 04

Соловьёв ОКО MSK0019 Высокий Разработка решения BTS_77_0004_L, Россия, адрес 12
